No.,Execution Time
0,1.14169
1,1.15067
2,1.11991
3,1.09976
4,1.12483
5,1.13849
6,1.11271
7,1.10574
8,1.11297
9,1.1059
10,1.15593
11,1.12889
12,1.14515
13,1.13203
14,1.13351
15,1.10783
16,1.1412
17,1.12002
18,1.13208
19,1.11853
20,1.12168
21,1.11746
22,1.1095
23,1.10913
24,1.12764
25,1.10474
26,1.12693
27,1.12201
28,1.12309
29,1.13258
30,1.10453
31,1.13844
32,1.10476
33,1.10698
34,1.09808
35,1.14644
36,1.1479
37,1.15594
38,1.14697
39,1.12659
40,1.12999
41,1.13974
42,1.1515
43,1.1032
44,1.10507
45,1.20756
46,1.13536
47,1.11006
48,1.10896
49,1.14597
50,1.16598
51,1.14518
52,1.17406
53,1.13073
54,1.12149
55,1.12604
56,1.11718
57,1.19841
58,1.13953
59,1.15982
60,1.1696
61,1.1404
62,1.17633
63,1.17804
64,1.22742
65,1.20371
66,1.12687
67,1.18849
68,1.18193
69,1.17658
70,1.17789
71,1.13056
72,1.20862
73,1.13257
74,1.16422
75,1.15267
76,1.13629
77,1.14248
78,1.14682
79,1.15064
80,1.10442
81,1.15211
82,1.11068
83,1.10509
84,1.1337
85,1.10755
86,1.12094
87,1.12519
88,1.13283
89,1.16563
90,1.15333
91,1.13008
92,1.11753
93,1.12246
94,1.12232
95,1.12655
96,1.11209
97,1.10182
98,1.12086
99,1.118
100,1.11746
101,1.11357
102,1.13375
103,1.11241
104,1.13246
105,1.14046
106,1.12635
107,1.14993
108,1.13185
109,1.11132
110,1.12403
111,1.13992
112,1.11894
113,1.12432
114,1.16582
115,1.18799
116,1.11633
117,1.14341
118,1.10683
119,1.14565
120,1.15202
121,1.14497
122,1.16854
123,1.12271
124,1.13093
125,1.1214
126,1.14818
127,1.16048
128,1.16339
129,1.14399
130,1.12143
131,1.14338
132,1.14008
133,1.14633
134,1.15927
135,1.14356
136,1.15038
137,1.14132
138,1.1922
139,1.13017
140,1.12696
141,1.21122
142,1.14038
143,1.15417
144,1.14884
145,1.11633
146,1.1615
147,1.14432
148,1.12445
149,1.19917
150,1.14815
151,1.12963
152,1.17038
153,1.14922
154,1.13329
155,1.14626
156,1.16751
157,1.1314
158,1.14218
159,1.13288
160,1.14523
161,1.11893
162,1.11368
163,1.12188
164,1.11126
165,1.1249
166,1.09939
167,1.10164
168,1.10958
169,1.09748
170,1.14979
171,1.14566
172,1.1186
173,1.11159
174,1.10707
175,1.13718
176,1.14051
177,1.12874
178,1.13847
179,1.20903
180,1.18751
181,1.24084
182,1.24982
183,1.10041
184,1.1022
185,1.14224
186,1.14381
187,1.10028
188,1.15572
189,1.12811
190,1.11219
191,1.13419
192,1.14595
193,1.11548
194,1.11732
195,1.11948
196,1.1443
197,1.15586
198,1.16696
199,1.15958
200,1.10061
201,1.11732
202,1.10337
203,1.11502
204,1.11813
205,1.10593
206,1.17463
207,1.12557
208,1.11926
209,1.15468
210,1.12148
211,1.10182
212,1.13747
213,1.12688
214,1.10116
215,1.10946
216,1.11383
217,1.11374
218,1.11839
219,1.09865
220,1.10933
221,1.11729
222,1.13865
223,1.13912
224,1.09395
225,1.11006
226,1.14659
227,1.09763
228,1.11788
229,1.18077
230,1.14172
231,1.17482
232,1.17429
233,1.12337
234,1.12822
235,1.1093
236,1.12408
237,1.11631
238,1.15927
239,1.17481
240,1.13528
241,1.12377
242,1.13649
243,1.14434
244,1.123
245,1.13724
246,1.10449
247,1.1165
248,1.1231
249,1.09866
250,1.11267
251,1.15321
252,1.11198
253,1.1114
254,1.11849
255,1.1125
256,1.11492
257,1.1199
258,1.15974
259,1.10382
260,1.14201
261,1.11717
262,1.10884
263,1.16025
264,1.11663
265,1.10886
266,1.10459
267,1.10907
268,1.12396
269,1.11027
270,1.17282
271,1.13353
272,1.12827
273,1.15421
274,1.10053
275,1.14512
276,1.11421
277,1.11525
278,1.10809
279,1.12252
280,1.1274
281,1.10469
282,1.10225
283,1.09907
284,1.11201
285,1.15074
286,1.15316
287,1.11478
288,1.12652
289,1.11664
290,1.10414
291,1.12784
292,1.11749
293,1.14489
294,1.11829
295,1.15973
296,1.10799
297,1.11159
298,1.09525
299,1.10042
300,1.11185
301,1.10662
302,1.10533
303,1.11462
304,1.12506
305,1.14496
306,1.13682
307,1.10677
308,1.11361
309,1.1175
310,1.11156
311,1.12015
312,1.13186
313,1.20279
314,1.13899
315,1.10016
316,1.11101
317,1.12535
318,1.13504
319,1.11138
320,1.09739
321,1.10209
322,1.0968
323,1.11122
324,1.13881
325,1.11864
326,1.11836
327,1.13664
328,1.16663
329,1.13827
330,1.10989
331,1.12304
332,1.14702
333,1.10242
334,1.13153
335,1.1497
336,1.10071
337,1.11268
338,1.12862
339,1.12016
340,1.1356
341,1.1434
342,1.12686
343,1.10756
344,1.14446
345,1.11215
346,1.1025
347,1.13661
348,1.09409
349,1.12916
350,1.12879
351,1.12447
352,1.13801
353,1.13002
354,1.12902
355,1.09515
356,1.10399
357,1.09928
358,1.08952
359,1.132
360,1.1492
361,1.09535
362,1.10739
363,1.0988
364,1.13312
365,1.13397
366,1.1146
367,1.12699
368,1.13872
369,1.10587
370,1.10084
371,1.10577
372,1.10936
373,1.11342
374,1.09512
375,1.10287
376,1.11748
377,1.13091
378,1.11681
379,1.11447
380,1.17817
381,1.11989
382,1.1035
383,1.11278
384,1.10257
385,1.12612
386,1.12052
387,1.10465
388,1.09909
389,1.09868
390,1.10922
391,1.14844
392,1.11193
393,1.12522
394,1.16297
395,1.18213
396,1.11904
397,1.09968
398,1.09929
399,1.11601
400,1.14039
401,1.15899
402,1.15027
403,1.1132
404,1.14465
405,1.10759
406,1.09646
407,1.1262
408,1.09991
409,1.15568
410,1.11273
411,1.11941
412,1.1036
413,1.11244
414,1.11192
415,1.11083
416,1.0975
417,1.10435
418,1.14081
419,1.16641
420,1.15108
421,1.18745
422,1.14234
423,1.1239
424,1.15674
425,1.17344
426,1.15114
427,1.11167
428,1.1273
429,1.17972
430,1.13208
431,1.14305
432,1.24205
433,1.23165
434,1.21817
435,1.21907
436,1.23021
437,1.27984
438,1.26187
439,1.22582
440,1.19395
441,1.14299
442,1.15221
443,1.1602
444,1.23549
445,1.20156
446,1.15539
447,1.16228
448,1.17715
449,1.16847
450,1.15281
451,1.16706
452,1.16893
453,1.16097
454,1.15259
455,1.1427
456,1.18321
457,1.12385
458,1.17865
459,1.18315
460,1.18467
461,1.15504
462,1.11369
463,1.12175
464,1.2095
465,1.13955
466,1.11167
467,1.10334
468,1.12238
469,1.12817
470,1.12361
471,1.15619
472,1.11492
473,1.15954
474,1.17187
475,1.14182
476,1.13534
477,1.12667
478,1.13252
479,1.11454
480,1.11178
481,1.11913
482,1.14724
483,1.17021
484,1.16891
485,1.22131
486,1.16997
487,1.19048
488,1.14025
489,1.10792
490,1.10173
491,1.15033
492,1.11923
493,1.12011
494,1.16028
495,1.10293
496,1.10346
497,1.1328
498,1.12067
499,1.15253
500,1.16956
501,1.1197
502,1.16061
503,1.10354
504,1.12592
505,1.13282
506,1.15157
507,1.13468
508,1.12895
509,1.11332
510,1.11952
511,1.11839
512,1.12085
513,1.14034
514,1.18121
515,1.15935
516,1.11773
517,1.1184
518,1.12521
519,1.11594
520,1.12462
521,1.12033
522,1.10512
523,1.11358
524,1.09822
525,1.11902
526,1.14683
527,1.12314
528,1.15476
529,1.1709
530,1.12094
531,1.11636
532,1.11683
533,1.14358
534,1.09835
535,1.10886
536,1.12293
537,1.11961
538,1.14896
539,1.17383
540,1.17892
541,1.1729
542,1.11971
543,1.11435
544,1.13251
545,1.13134
546,1.12681
547,1.12981
548,1.13402
549,1.11821
550,1.11815
551,1.13788
552,1.14714
553,1.13726
554,1.10621
555,1.147
556,1.13665
557,1.1774
558,1.12022
559,1.19723
560,1.11434
561,1.11395
562,1.10927
563,1.12156
564,1.12045
565,1.15122
566,1.11834
567,1.13112
568,1.1235
569,1.22527
570,1.13633
571,1.11861
572,1.11496
573,1.0946
574,1.10933
575,1.1236
576,1.15012
577,1.1047
578,1.10526
579,1.13331
580,1.11037
581,1.13945
582,1.14414
583,1.123
584,1.12943
585,1.1166
586,1.1008
587,1.10779
588,1.12443
589,1.12794
590,1.12843
591,1.15226
592,1.18627
593,1.12161
594,1.13993
595,1.10871
596,1.12217
597,1.1335
598,1.18476
599,1.13408
600,1.13045
601,1.10076
602,1.13323
603,1.12369
604,1.11475
605,1.16054
606,1.12205
607,1.11481
608,1.10391
609,1.13655
610,1.13243
611,1.12675
612,1.11856
613,1.12944
614,1.1198
615,1.13342
616,1.12746
617,1.13964
618,1.11219
619,1.09587
620,1.11484
621,1.10324
622,1.19497
623,1.13352
624,1.09774
625,1.10867
626,1.11436
627,1.10439
628,1.13552
629,1.12416
630,1.14318
631,1.13722
632,1.11921
633,1.12117
634,1.13173
635,1.10954
636,1.11344
637,1.09351
638,1.11126
639,1.12782
640,1.09959
641,1.13625
642,1.1125
643,1.11205
644,1.09604
645,1.14647
646,1.12551
647,1.11147
648,1.10215
649,1.12092
650,1.11546
651,1.12236
652,1.13101
653,1.16593
654,1.10672
655,1.1354
656,1.13681
657,1.15137
658,1.11535
659,1.10341
660,1.12288
661,1.12654
662,1.15539
663,1.15403
664,1.1231
665,1.10317
666,1.12278
667,1.09412
668,1.10838
669,1.13565
670,1.10989
671,1.12037
672,1.14357
673,1.11988
674,1.13224
675,1.11733
676,1.14617
677,1.13273
678,1.11509
679,1.10606
680,1.12347
681,1.12805
682,1.12975
683,1.12999
684,1.15155
685,1.10779
686,1.15803
687,1.19228
688,1.13323
689,1.11069
690,1.10869
691,1.11504
692,1.11053
693,1.13944
694,1.18755
695,1.18828
696,1.17326
697,1.16941
698,1.17373
699,1.16545
700,1.17841
701,1.34307
702,1.25781
703,1.12853
704,1.15659
705,1.15784
706,1.11358
707,1.14033
708,1.14822
709,1.14168
710,1.15429
711,1.18969
712,1.15444
713,1.14514
714,1.16286
715,1.14419
716,1.1413
717,1.12557
718,1.1701
719,1.12304
720,1.10654
721,1.12719
722,1.11993
723,1.10863
724,1.10178
725,1.12126
726,1.13253
727,1.14985
728,1.12377
729,1.1138
730,1.1115
731,1.17049
732,1.16531
733,1.102
734,1.13888
735,1.15744
736,1.13845
737,1.12631
738,1.14998
739,1.11582
740,1.11627
741,1.14292
742,1.11044
743,1.11675
744,1.12553
745,1.10161
746,1.1095
747,1.11924
748,1.12565
